Date,Airlane,Place,Description
03/28/1933,"Imperial Airways
 Armstrong Argosy II",Dixmude,"A fire, possibly started by a passenger attempting to commit suicide, caused the plane to crash killing all 15 aboard. This is thought to be the first act of sabotage on a commercial airliner."
 10/10/1933,"United Air Lines
 Boeing 247", Belgium,The aircraft was destroyed by an explosive device using nitroglycerin. This was the first proven case of sabotage in the history of commercial aviation.
 02/09/1937,"United Air Lines
 DC-3", Chesterton,The co-pilot dropped his microphone which jammed the controls preventing the pilot from pulling out of the glide. The plane crashed killing all 11 aboard.
" 07/28/1945
 ","U.S. Army
  B-25", Indiana,"A U.S. Army Air Force B-25 crashed into the 79th floor of the Empire State Building in fog, killing 3 aboard and 11 on the ground."
 08/02/1947,"Brit So Am. Airways
 Avro Lancastrain", San Francisco,"Wreckage of the plane was  found on January 19, 2000, 53 years after the plane crashed."
 10/24/1947,"United Air Lines
 DC-6", California,"While transferring fuel from one tank to another, the crew allowed fuel to overfill and overflow out the vent. A design flaw allowed the gasoline to be carried back in the slipstream to the cabin heater combustion air intake scoop. When the cabin heater came on, an explosion and fire destroyed the plane killing all 53 aboard."
 10/08/1947,"American Airlines
 DC-4", New York City,"As a prank, a captain riding in the jump seat engaged the gust lock in flight. The command pilot, not knowing the gust lock had been engaged, rolled the elevator trim tab with no response. When the jump seat captain disengaged the gust lock, the aircraft went into into a steep dive, executed part of an outside roll and become inverted. Neither the command nor jump seat captain had seat belts on and they accidentally feathered No. 1, 2 and 4 engines when they hit the controls with their heads. No one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive 350 feet from the ground."
 01/07/1948,Miitary, New York,"January 7, 1948, Captain Thomas F. Mantell of the Kentucky Air National Guard was piloting an F-51from Standiford Air Force Base, Kentucky accompanied by three other Guard planes. At approximately 1:30 PM, the Kentucky State Police began receiving reports from worried citizens of spotting a large circular object flying over the city of Mansville. In a matter of minutes the area of the sightings expanded to cover Irvington and Owensboro. The large, metallic flying craft was then clearly seen from the tower of Godman Air Force Base. The object was described as being an extremely large, round, whitish in color, with a red light toward its bottom side, and seemed to be moving slowly toward the South.
A little over an hour after the first reports, Mantell's group was asked to investigate the anomalous object. One of his three companions in flight received permission to continue his pre-assigned flight plan, while Mantell and the remaining two planes headed to the coordinates of the visual sightings. Mantell led the way in the climb to 15,000 feet, and upon reaching the position, he radioed the following statement back to the control tower.""The object is directly ahead of and above me now, moving at about half my speed... It appears to be a metallic object or possibly reflection of Sun from a metallic object, and it 
 is of tremendous size... I'm still climbing... I'm trying to close in for a better look."" 18,000, 20,000, 22,000 feet! too high for the WWII fighters without oxygen! The other two planes turned back, leaving Mantell alone to pursue the giant object. By all accounts, Mantell must have passed out from lack of oxygen at about 30,000 feet, at least his plane leveled off at that height. His plane now began to plunge back toward earth. He crashed on the farm of William J. Phillips near Franklin, Kentucky.
 Mantell's watch stopped at 3:16 PM, and his body was still strapped in his plane. He had spent 45 minutes in a frantic flight into the realm of the unknown. By 3:50 PM, the giant craft was not visible from Godman, but reports continued as the UFO continued southward into Tennessee."
 06/17/1948,"United Air Lines
 DC-6", Andes,"Carbon dioxide extinguishers were discharged in response to a fire warning in the cargo hold. The plane's nose was lowered for an emergency descent and due to a design flaw, carbon dioxide entered the cockpit and rendered the crew unconscious after which the plane crashed killing all 43 aboard."
" 09/09/1949
 ","Canadian Pacific
 Airlines
 DC-3", Argentina,"The DC-3 disintegrated in flight outside of Quebec killing all 23 aboard.. A dynamite  bomb was planted in the forward baggage compartment by Albert Guay, a jeweler, in a plot to kill his wife who was a passenger on the plane. Guay, who assembled the bomb, had his accomplice, Marguerite Pitre air expressed the bomb on the aircraft. Ms. Pitre's brother, a clockmaker, helped make the timing mechanism. The insurance policy was for 10,000 dollars. All three were hanged for their crimes."
